ID,Category,Unit,Rubric,Translation,Question,Choices,Solution,Image,Tags
1,CHAPTER 01 동사와 문장의 기본 구조,UNIT 01 SV,문장을 완성하라.,성공은 일어난다 / 모든 사람들에게. 그저 포기하지만 마라.,{{c1::Success happens}} to everyone. Just {{c1::don’t give up.}},success / happens / don’t / give up,,,천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_01_SV
2,CHAPTER 01 동사와 문장의 기본 구조,UNIT 01 SV,문장을 완성하라.,배움의 많은 부분이 일어난다 / 시행착오를 거쳐서.,{{c1::Much of learning occurs through trial and error.}},much / of / learning / occurs / through / trial and error,,,천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_01_SV
3,CHAPTER 01 동사와 문장의 기본 구조,UNIT 01 SV,문장을 완성하라.,당신의 성공은 커진다 / 당신의 노력으로부터 (인생에서의).,{{c1::Your success grows from your struggles}} in life.,your success / grows / from / your  / struggles,,,천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_01_SV
4,CHAPTER 01 동사와 문장의 기본 구조,UNIT 01 SV,문장을 완성하라.,나는 잠에서 깬다 / 매일 6시에 / 습관의 힘으로.,{{c1::I wake up at 6 o’clock every day from force of habit.}},I / wake up / at / 6 o’clock / every day / from / force of habit,,,천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_01_SV
5,CHAPTER 01 동사와 문장의 기본 구조,UNIT 01 SV,문장을 완성하라.,피부색은 문제가 되지 않는다 / 우정에 있어서.,{{c1::Skin color doesn’t matter in friendship.}},skin color / doesn’t / matter / in / friendship,,,천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_01_SV
6,CHAPTER 01 동사와 문장의 기본 구조,UNIT 01 SV,문장을 완성하라.,채식주의 식단은 효과가 있었다 / 상당히 / 내 건강에.,{{c1::The vegetarian diet worked well for my health.}},the vegetarian / diet / worked / well / for / my health,,,천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_01_SV
7,CHAPTER 01 동사와 문장의 기본 구조,UNIT 01 SV,문장을 완성하라.,정직은 이익이 될 것이다 / 결국에는,{{c1::Honesty will pay in the end.}},honesty / will / pay / in the end,,,천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_01_SV
8,CHAPTER 01 동사와 문장의 기본 구조,UNIT 01 SV,문장을 완성하라.,모든 표가 중요하다 / 선거에서.,{{c1::Every vote counts in an election.}},every / vote / counts / in / an election,,,천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_01_SV
9,CHAPTER 01 동사와 문장의 기본 구조,UNIT 01 SV,문장을 완성하라.,물 한 잔이면 충분할 것이다 / 나에게.,{{c1::A glass of water will do for me.}},a glass / of / water / will / do / for / me,,,천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_01_SV
10,CHAPTER 01 동사와 문장의 기본 구조,UNIT 01 SV,문장을 완성하라.,그 회의는 계속되었다 / 두 시간 동안.,{{c1::The meeting lasted two hours.}},the meeting / lasted / two hours,,,천일문::기본편::CHAPTER_01_동사와_문장의_기본구조::UNIT_01_SV
