CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,우리의 주된 목적은 (이 삶에서) / 다른 사람들을 돕는 것이다.,{{c1::Our prime purpose in this life is to help others.}},our prime purpose / in this life / is / to help / others,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,가장 저렴한 교육은 / 실수로부터 배우는 것이다 (다른 사람들의).,{{c1::The least expensive education is learning from the mistakes of others.}},the least expensive education / is / learning / from the mistakes of others,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,의무는 (법원 제도의) / 권리를 보호하는 것이다 (국민의).,{{c1::The duty of the court system is to protect the rights of the people.}},the duty of the court system / is / to protect / the rights of the people,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,모든 일은 [당신이 해야 할] / 당신의 틀에 박힌 일상에 조금 변화를 주는 것이다.,{{c1::All you have to do is (to) vary your routine a little.}},all / you / have to / do / is / (to) vary / your routine / a little,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,누군가를 용서하는 것은 / 그들의 관점에서 보려고 노력하는 것이다.,{{c1::Forgiving someone is trying to look at things from their perspective.}},forgiving someone / is / trying / to look at things / from their perspective,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,목표를 세워라 // 그리고 계속해서 앞으로 나아가라.,{{c1::Set your goal and keep moving forward.}},set / your goal / and / keep / moving / forward,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,당신은 집중한 채로 있어야 한다 / 일과에.,{{c1::You should stay focused on the daily tasks.}},you / should stay / focused / on the daily tasks,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,미스터리는 (스톤헨지를 둘러싼) / 풀리지 않은 채로 남아 있다.,{{c1::The mysteries surrounding Stonehenge remain unsolved.}},the mysteries / surrounding Stonehenge / remain / unsolved,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,내 요점은 ~이다 // 우리가 너무 많은 시간을 쓰고 있다는 것 / 세부적인 것에.,{{c1::My point is that we’re spending too much time on details.}},my point / is / that / we’re / spending / too much time on details,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,"문제는 ~이다 // 우리가 죽을 것인지가 아니라, / 우리가 어떻게 살 것인지.","{{c1::The question is not whether we will die, but how we will live.}}",the question / is not / whether / we will die / but / how / we will live,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,최대 관심사는 (학생들 사이에서) / ~이다 // 누가 그들의 담임 선생님이 될지.,{{c1::223 The hot topic among students is who is going to be their homeroom teacher.}},the hot topic / among students / is / who / is going to / be / their homeroom teacher,,,
CHAPTER 04 보어의 이해,UNIT 21 다양한 주격보어,문장을 완성하라.,하나는 (가장 힘든 선택들 중애 (인생에서)) / ~이다 // 어느 다리를 우리가 건너야 하는지.,{{c1::One of the hardest choices in life is which bridge we should cross.}},one of the hardest choices / in life / is / which / bridge / we / should / cross,,,
